Date Time,Order ID,Amount,Ccy
2025-05-03 05:34:15.410,5-38608-v3JKQ48I1SnkHeau-20250503043412,63.5,780
2025-05-03 05:31:34.457,96-38608-ULtCQoVHLTi412SC-20250503043132,63.5,780
2025-05-03 05:04:21.050,7-36560-pyk4wpZVKZQdTudH-20250503040419,1000.0,780
2025-05-03 05:00:49.423,54-38608-LONO4qP5L7LHeDRZ-20250503040047,32.6,780
2025-05-03 04:38:54.193,14-38661-sN5GS4cTA16pNeqz-20250503033852,10000.0,780
2025-05-03 04:38:31.853,57-36560-MmUsEXHTHG4Syg45-20250503033830,2000.0,780
2025-05-03 04:26:06.077,66-38661-753mQhPDmB4S3TSk-20250503032603,10000.0,780
2025-05-03 04:23:57.957,16-49740-LZQKMXyBvRZFjuSs-20250503032356,500.0,780
2025-05-03 04:23:13.970,23-49740-Kw2G1Q32eR4xJpVj-20250503032311,3000.0,780
2025-05-03 04:22:48.620,98-38608-Ag2klM7DxpyMSv82-20250503032246,48.05,780
2025-05-03 04:21:25.410,31-37032-ci4BUv97Is5fT4AW-20250503032122,500.0,780
2025-05-03 03:55:39.557,44-38608-GznnAenLw7iVLEOT-20250503025537,63.5,780
2025-05-03 03:44:23.720,29-49740-mZiA7gH1QBLW5RBe-20250503024422,900.0,780
2025-05-03 03:38:03.843,24-38608-nJV3Sbm17EmjiPr1-20250503023802,32.6,780
2025-05-03 03:32:02.430,21-49740-zZt2NpTAyQJFRWVh-20250503023200,700.0,780
2025-05-03 03:30:19.247,58-35651-vPg4FZ5dyo3QThmL-20250503023017,3000.0,780
2025-05-03 03:27:07.073,26-49740-uXTeGm2VZSDOPxcz-20250503022704,500.0,780
2025-05-03 03:25:05.430,19-49740-ddLFgzhj27OAoHJZ-20250503022503,1000.0,780
2025-05-03 03:23:08.003,55-41673-5sOmq3NNC2AeiPcL-20250503022306,400.0,780
2025-05-03 03:19:22.973,92-36977-9EpRSFwRhUhqP8Ja-20250503021921,1700.0,780
2025-05-03 03:16:26.100,28-49740-N5vtaPYZjRvjU5uX-20250503021624,1000.0,780
2025-05-03 03:15:21.820,38-35177-XhdBD9be2HMhCSEG-20250503021520,200.0,780
2025-05-03 03:10:48.727,2-36977-6eeH223M0kVbyNP5-20250503021046,10000.0,780
2025-05-03 03:08:44.720,64-49740-fZf1RriWO7XKK61g-20250503020842,2000.0,780
2025-05-03 03:04:48.163,68-14207-Jlns8YE5pDPHUbBs-20250503020446,135.6,780
2025-05-03 03:01:42.477,49-41673-le6ADTzKVlh9VFH9-20250503020140,300.0,780
2025-05-03 02:58:04.960,86-49740-5wGlOzC0ZPR3bDdg-20250503015803,1000.0,780
2025-05-03 02:56:46.377,44-36560-KXBlFhR7YV3xH6wv-20250503015644,1500.0,780
2025-05-03 02:55:45.920,98-49740-K4Jpnp9tEr81ajbD-20250503015544,3000.0,780
2025-05-03 02:53:32.267,36-36560-usYL4gtESLx8Bxwe-20250503015330,1000.0,780
2025-05-03 02:48:55.400,55-35651-oBVapsBeclaZAHU6-20250503014853,3000.0,780
2025-05-03 02:46:30.383,24-41673-P99iDjj6hN4aj8PC-20250503014628,1000.0,780
2025-05-03 02:45:25.470,91-49740-eO5c1bN4L6zAnbEd-20250503014523,3000.0,780
2025-05-03 02:44:30.827,57-38663-W42lF0KWSKPPqor5-20250503014428,1000.0,780
2025-05-03 02:39:41.437,35-38138-nfPe151Sj3xEHZFf-20250503013939,400.0,780
2025-05-03 02:34:48.610,25-14207-eOPKuSDazlVfJZKv-20250503013446,106.76,780
2025-05-03 02:33:25.487,34-38608-cWIKioTM0w5AExxC-20250503013323,32.6,780
2025-05-03 02:24:17.800,89-36560-SNNzWEybiYl6G9LY-20250503012415,1000.0,780
2025-05-03 02:20:05.960,67-35177-2uOuzfWMMXhlvbaS-20250503012004,1000.0,780
2025-05-03 02:17:54.387,46-49740-vHaIjnSgCGGqLXoU-20250503011752,1000.0,780
2025-05-03 02:13:17.607,85-36977-klh6N1ZgeiybzLYs-20250503011315,2500.0,780
2025-05-03 02:13:04.773,65-38608-99OPZsGIcj8qJ9Zb-20250503011302,32.6,780
2025-05-03 02:11:57.730,24-38608-6fjCIf443RJxxe98-20250503011155,22.3,780
2025-05-03 02:06:16.677,46-49740-mpgZNbAudM30kJDM-20250503010614,1000.0,780
2025-05-03 02:03:58.410,84-38608-mAxIcIYBFV3rAY5T-20250503010356,32.6,780
2025-05-03 01:59:11.867,7-38659-ZjS7j9MW2rwmKgKC-20250503005910,1000.0,780
2025-05-03 01:58:59.337,66-36560-UIj7yf8Q6UXRJSiQ-20250503005857,1000.0,780
2025-05-03 01:56:42.150,8-38659-UBinaHUov0wNhvCF-20250503005640,500.0,780
2025-05-03 01:56:12.500,63-38661-PkVoj6U84rjfgWTc-20250503005611,5000.0,780
2025-05-03 01:53:51.437,3-49740-HPIMWvkJhjZGOWXP-20250503005349,500.0,780
2025-05-03 01:45:32.780,37-38146-qaX9YsH3Y9psRS9H-20250503004530,100.0,780
2025-05-03 01:44:50.450,53-37032-A1XyweczJWMGZB8I-20250503004448,600.0,780
2025-05-03 01:42:00.827,73-36560-QrDbIt89KimR2TvH-20250503004159,1000.0,780
2025-05-03 01:41:55.597,82-38659-98xMHlvLuEd9NcJE-20250503004154,1000.0,780
2025-05-03 01:37:26.263,28-36977-tqB1LI4qyhMJxQ5u-20250503003724,500.0,780
2025-05-03 01:35:06.483,75-49740-bkQAfxLYTGPkxKBr-20250503003504,1500.0,780
2025-05-03 01:35:02.733,39-38661-rFAps4QzAPep1cRR-20250503003501,500.0,780
2025-05-03 01:33:23.320,37-14207-sNlIz2VF6YZof5lo-20250503003321,75.86,780
2025-05-03 01:32:06.883,25-35177-6aJB1SglNA69fsXE-20250503003204,1000.0,780
2025-05-03 01:18:41.997,40-36560-YzuoyVxPrx7LvjMv-20250503001839,10000.0,780
2025-05-03 01:16:42.977,9-36977-jVNbZVOqH8rQwVo8-20250503001641,3000.0,780
2025-05-03 01:16:17.713,67-35177-OCAtfVYiBIw5wsr3-20250503001615,1000.0,780
2025-05-03 01:16:10.607,44-36560-V9gizib3m9E3TEfG-20250503001608,2000.0,780
2025-05-03 01:15:42.810,65-14207-toxIauhVNVIASchD-20250503001541,24.36,780
